episode,"[0, 1]"
avg,"[261.0, 187.0]"
max,"[261, 187]"
min,"[261, 187]"
step,"[99, 99]"
epsilon,"[0.9872299404, 0.9844676315375632]"
time_training,"[datetime.timedelta(seconds=8, microseconds=894041), datetime.timedelta(seconds=15, microseconds=665867)]"
