episode,"[0, 1]"
avg,"[-100.0, -100.0]"
max,"[-100, -100]"
min,"[-100, -100]"
step,"[0, 0]"
epsilon,"[0.988614, 0.9872299404]"
time_training,"[datetime.timedelta(microseconds=565702), datetime.timedelta(microseconds=895058)]"
