10,449.7,1273,-100,1,0.154128,127.582587
20,308.4,835,-100,1,0.188388,246.129907
30,445.4,1269,-100,31,4.543438,370.94295
40,394.9,1091,-100,179,24.639256,494.100309
50,403.0,1115,-100,134,18.558477,605.93777
60,395.1,1098,-100,1,0.164379,721.487517
70,415.8,1021,-100,1,0.168547,844.127183
80,551.4,1802,-100,149,19.971596,978.361863
90,248.7,974,-100,1,0.16031,1064.087443
100,663.0,1706,-100,185,24.795949,1225.126869
110,361.4,1209,-100,162,21.749734,1333.289987
120,368.5,1007,-100,161,21.600249,1454.858948
130,405.0,1147,-100,185,24.797821,1579.988727
140,610.4,2268,-100,192,25.701114,1731.887625
150,314.8,1042,-100,218,29.293237,1845.325397
160,378.3,1756,-100,232,31.168669,1960.725334
170,298.5,1386,-100,194,26.072609,2062.259076
180,633.2,2103,-100,1,0.163269,2226.489828
190,896.0,4337,-100,1,0.167458,2406.926711
200,1258.8,4211,-100,336,45.028928,2647.988316
210,488.7,1456,-100,1,0.169435,2771.228945
220,835.7,3516,-100,1,0.168001,2951.059072
230,1671.0,8662,-100,1,0.171014,3354.558515
240,508.8,2096,-100,1,0.170849,3518.331238
250,2808.5,12810,-100,1,0.173416,4018.332072
260,2728.4,23316,-100,2473,331.23327,4517.592482
270,1790.2,10126,-100,155,20.888048,4816.887925
280,4458.1,29568,-100,3548,475.101447,5535.429658
290,228.8,869,-100,1,0.162262,5658.358089
